StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly,Salary Package
1,Male,Ahmedabad,Tier2,ECE,Networking,No,No,6.02,6.54,6.52,6.0,6.47,5.91,6.49,5.5,6.29,73.3,1,2,,2,0,66.7,2.2,49.4,47.8,0,Low,0,0,0.0
2,Female,Mumbai,Tier2,ECE,DataScience,Yes,Yes,5.84,5.12,5.34,5.18,5.03,4.93,5.4,5.13,5.23,54.5,0,1,0.0,1,0,48.2,2.4,26.7,25.8,0,Low,0,0,0.0
3,Male,Kolkata,Tier2,IT,DataScience,Yes,No,4.91,5.29,5.49,5.73,5.33,5.88,5.82,5.67,5.52,77.6,1,3,1.0,1,0,73.8,2.8,67.7,41.5,0,Low,1,0,3.89
4,Male,Jaipur,Tier1,CS,AI,No,No,7.67,8.03,8.08,7.64,6.86,7.1,7.56,7.39,7.51,68.8,1,2,1.0,2,0,69.8,2.7,66.9,48.0,0,Mid,1,0,8.37
5,Male,Pune,Tier2,IT,DataScience,Yes,No,8.14,8.97,8.36,8.55,8.55,8.38,9.1,8.86,8.65,95.8,2,3,,4,1,73.1,2.1,71.7,61.7,1,High,1,0,18.99
6,Male,Ahmedabad,Tier2,EE,Networking,No,No,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.9,2,5,2.0,4,1,81.5,3.9,,75.3,0,High,1,0,18.17
7,Male,Hyderabad,Tier2,Mechanical,Networking,Yes,No,8.7,9.55,9.72,9.86,8.85,9.07,9.71,9.7,9.35,87.1,2,2,3.0,3,2,76.5,4.6,83.0,61.5,1,High,1,0,25.52
8,Male,Delhi,Tier2,Mechanical,Embedded,Yes,No,5.87,5.64,5.48,5.78,5.89,6.0,5.12,5.19,5.51,67.9,0,1,1.0,0,0,,2.0,35.2,27.8,0,Low,0,0,0.0
9,Male,Pune,Tier1,CS,AI,No,Yes,6.76,5.84,6.05,5.97,6.36,6.25,5.88,5.99,6.2,65.5,0,2,1.0,1,1,52.3,3.7,63.8,56.9,1,Low,1,0,5.51
10,Female,Hyderabad,Tier2,CS,DataScience,No,No,8.26,8.29,8.23,8.61,8.5,8.37,8.59,8.16,8.41,75.5,1,2,,1,0,59.0,2.7,74.3,42.4,1,High,1,0,18.51
