CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore
6.29,73.3,1,2,,2,66.7,2.2,49.4,47.8
5.23,54.5,0,1,0.0,1,48.2,2.4,26.7,25.8
5.52,77.6,1,3,1.0,1,73.8,2.8,67.7,41.5
7.51,68.8,1,2,1.0,2,69.8,2.7,66.9,48.0
8.65,95.8,2,3,,4,73.1,2.1,71.7,61.7
10.0,88.9,2,5,2.0,4,81.5,3.9,,75.3
9.35,87.1,2,2,3.0,3,76.5,4.6,83.0,61.5
5.51,67.9,0,1,1.0,0,,2.0,35.2,27.8
6.2,65.5,0,2,1.0,1,52.3,3.7,63.8,56.9
8.41,75.5,1,2,,1,59.0,2.7,74.3,42.4
