Feature,Coefficient,AbsoluteCoefficient
numerical__CGPA,-2.2467585674441795,2.2467585674441795
categorical__HistoryOfBacklogs_No,1.3861384267841712,1.3861384267841712
numerical__SoftSkillsRating,1.1120753375768304,1.1120753375768304
numerical__Internships,1.0381399264862319,1.0381399264862319
numerical__SGPA_Sem5,0.8400377451715457,0.8400377451715457
categorical__HistoryOfBacklogs_Yes,-0.8246496444558393,0.8246496444558393
numerical__Projects,0.8205244187564622,0.8205244187564622
numerical__SGPA_Sem7,0.7792837235755554,0.7792837235755554
numerical__SGPA_Sem8,0.7138028065227301,0.7138028065227301
numerical__SGPA_Sem6,0.6858681769434016,0.6858681769434016
categorical__CGPA_Tier_High,0.648957806904055,0.648957806904055
numerical__SGPA_Sem1,0.5451972042352096,0.5451972042352096
numerical__MockInterviewScore,0.5286356525885464,0.5286356525885464
numerical__SGPA_Sem2,0.5273862850495773,0.5273862850495773
numerical__SGPA_Sem4,0.49868332151598865,0.49868332151598865
numerical__AptitudeTestScore,0.4806205067582898,0.4806205067582898
numerical__SGPA_Sem3,0.4426617409603918,0.4426617409603918
numerical__CodingTestScore,0.4086635063113105,0.4086635063113105
categorical__CollegeTier_Tier1,0.4064069102762072,0.4064069102762072
categorical__Stream_CS,0.40489548525356184,0.40489548525356184
categorical__Hostel_No,0.29103798822225596,0.29103798822225596
categorical__Gender_Male,0.28123935250257154,0.28123935250257154
categorical__Gender_Female,0.28024942982573864,0.28024942982573864
categorical__Hostel_Yes,0.2704507941060628,0.2704507941060628
categorical__Specialisation_AI,0.18984820253619963,0.18984820253619963
categorical__CGPA_Tier_Low,-0.18805901760174032,0.18805901760174032
categorical__City_Kochi,0.16928537139559624,0.16928537139559624
categorical__Specialisation_Embedded,0.16423189100346264,0.16423189100346264
categorical__City_Bangalore,0.16247258932075706,0.16247258932075706
categorical__City_Kolkata,-0.14860716919145395,0.14860716919145395
numerical__Certifications,0.12473156058207403,0.12473156058207403
numerical__AttendancePercent,0.12026212185225639,0.12026212185225639
categorical__Stream_EE,0.11836575276722744,0.11836575276722744
categorical__City_Delhi,0.1176077736784986,0.1176077736784986
categorical__City_Mumbai,0.11258656172376717,0.11258656172376717
categorical__CollegeTier_Tier2,0.11022047883617093,0.11022047883617093
categorical__Specialisation_DataScience,0.10966146174178246,0.10966146174178246
categorical__CGPA_Tier_Mid,0.10058999302600036,0.10058999302600036
categorical__Specialisation_Networking,0.09774722704686097,0.09774722704686097
categorical__City_Hyderabad,0.09115945115063674,0.09115945115063674
categorical__City_Chennai,0.04949385978597321,0.04949385978597321
numerical__ExtraCurricular,0.04740751825595054,0.04740751825595054
numerical__Publications,0.04511408215310115,0.04511408215310115
categorical__CollegeTier_Tier3,0.04486139321593882,0.04486139321593882
categorical__City_Jaipur,0.04459375353654075,0.04459375353654075
categorical__Stream_Civil,0.02798187250821575,0.02798187250821575
categorical__City_Pune,-0.02317484923156114,0.02317484923156114
numerical__Workshops,0.020759419259919136,0.020759419259919136
categorical__City_Ahmedabad,-0.013928559840454035,0.013928559840454035
categorical__Stream_IT,0.01379355332060203,0.01379355332060203
categorical__Stream_Mechanical,-0.004477670086938625,0.004477670086938625
categorical__Stream_ECE,0.0009297885656365124,0.0009297885656365124
